"","sample","k","n0","r","t_mid","t_gen","auc_l","auc_e","sigma","note"
"1","A01",0.168751162417292,4.2761981316325e-17,1.29647692401706,27.6993377413485,0.534639041944742,20.4558932885265,20.6634117694328,0.0787390900728463,""
"2","A04",0.00149999931454659,0.00306791043873411,0.0164162160284506,-40.8895966359257,42.2233223148784,0.284614366827326,0.194996755223514,0.000933401100593752,"questionable fit (k < n0)"
"3","A07",0.0681730391374953,8.15418123698753e-17,0.561565302203413,61.1855994348585,1.23431269318144,5.98102603865167,5.3204288330162,0.0254546373214468,""
"4","A10",0.00207161340986361,0.00051316563928639,0.146378236256405,7.58888027194723,4.73531583852253,0.288752243426441,0.29509153933833,0.000453944176745532,""
"5","B01",0.197771807290754,0.000429746309878244,0.358508477999979,17.0972213231974,1.93341921626742,26.0693544875576,25.022022191106,0.101022159553679,""
"6","B04",0.00159999914467335,0.00524459304708631,0.0309424132347518,-11.7622597927549,22.4011997804186,0.299298607825779,0.245471951865281,0.00112688397537377,"questionable fit (k < n0)"
"7","B07",0.0286808551389352,4.8905044544399e-10,0.550204619458018,32.5097779527733,1.25979891125366,3.33870487981872,3.39243799082263,0.0218541480973392,""
"8","B10",98.291780194725,0.0010020071515761,0.00257346633344821,4466.22526180518,269.343791893011,0.181841119283727,0.167135813539957,0.000677109417142292,""
"9","C01",0.205225422982548,6.72796963884335e-05,0.444677712296322,18.0415560900464,1.558763035324,26.8591476506955,25.9288813913836,0.0900568115234005,""
"10","C04",0.00155000016093254,0.00650643100280531,0.0202839165722805,-13.4148244242357,34.1722555449268,0.337551273599029,0.233861274107152,0.00106049516207566,"questionable fit (k < n0)"
"11","C07",0.256708377210939,1.1888832682867e-07,0.270641285344848,53.8915050427177,2.56112876376842,24.3942537505145,24.6922218745512,0.0123026345148832,""
"12","C10",0.00171846098197708,0.000419098601934194,0.0405693479047556,27.8910750511402,17.085489818255,0.196450660026142,0.195561266823978,0.000480410828831045,""
