Year	Food	Textiles	Wood_Paper	Leather	Chemicals_Fuels	Machinery	Metals
1876	382.588658	219.0524036	325.9054645	217.8490679	461.7779695	280.1018139	376.7968433
1877	373.6958718	233.5057174	299.4476109	250.8474434	526.3336674	242.2888705	423.5072831
1878	419.8750327	252.0113511	305.6131354	218.1164201	526.9869764	269.8685585	470.0796625
1879	466.4941352	250.8106991	379.8311563	250.9503796	644.4696388	301.9631617	581.6715191
1880	520.5019059	253.4900381	402.673149	278.0362198	741.503055	377.0023676	742.0284207
1881	595.5026071	312.2851416	471.8362172	312.5128719	781.6183272	534.9467141	809.8526656
1882	590.6726262	305.7924274	486.2606177	332.3945762	869.3335785	620.668706	925.8838669
1883	641.0318745	337.3017365	520.2536582	312.5069788	898.3861708	576.6533822	948.2272492
1884	748.3677375	304.399334	527.7597977	314.1643804	944.6119101	463.8078184	903.8781351
1885	808.1240588	286.1293121	510.143765	296.1676252	947.7795059	392.1005213	939.9834034
1886	844.183937	368.5445196	501.6806584	306.8058835	1008.396081	429.6099312	1203.327644
1887	977.368192	357.1429841	542.5915282	276.2573073	1129.24462	551.6142984	1364.629377
1888	948.7747639	389.2941063	584.3228748	269.7670127	1248.365815	700.827606	1429.968771
1889	968.1114746	418.495444	554.3057867	260.3373093	1240.548071	709.258605	1597.202055
1890	1063.413816	474.1842384	624.3727398	268.5357857	1412.163045	904.6587799	1870.511275
1891	1179.04603	485.7099609	618.0216775	248.9746079	1536.417159	903.8446375	1775.982398
1892	1305.668815	497.9523503	696.881339	251.0205669	1594.742078	925.7971619	2055.776117
1893	1288.320886	424.5370698	654.4070075	252.0342347	1613.690721	824.7100475	1725.546043
1894	1327.984787	406.5247127	597.2548006	252.5952162	1547.093119	579.7298719	1755.490792
1895	1334.719953	516.5357151	657.9907061	306.2354957	1726.361891	714.2617047	2259.229366
1896	1388.643037	448.9286625	677.8720732	264.8372504	1757.892077	698.258613	2159.027767
1897	1481.469995	500.6259649	643.1117612	292.7224777	1820.035279	723.9980546	2454.33737
1898	1571.035298	639.6057524	667.4515003	328.8717694	1937.368526	1029.995947	2897.048314
1899	1559.27317	671.1044897	675.9545184	362.8064008	2189.424127	1235.438918	3346.177025
1900	1758.402037	672.1134945	653.9897288	366.9375684	2336.833894	1357.771571	3413.185958
1901	1844.754818	628.2685337	679.1936098	390.6539798	2578.566087	1580.108511	3934.226452
1902	1787.855991	704.0335237	667.9659992	407.9216604	2759.6267	1755.732849	4358.329586
1903	1766.389751	750.1401207	690.3322572	413.0789941	3176.775995	1800.319197	4373.120032
1904	1554.526496	714.2884663	713.6890823	419.0174961	3264.030791	1561.489754	4338.300145
1905	1641.835831	876.1878336	722.742526	473.7817056	3648.991486	1668.54236	5688.925648
1906	1695.759447	840.0247842	742.4244239	484.1813247	3772.359952	1816.452668	6313.19117
1907	1747.207585	867.6291458	730.75675	479.4849072	4455.846493	1940.512411	6234.416657
1908	1741.779674	766.0579145	711.4082219	440.2160205	4027.43129	1526.906624	4550.209664
1909	1722.614711	916.6024545	750.5012865	540.709125	4359.636095	1592.060823	6704.107605
1910	1653.962437	901.847783	752.864764	547.5432596	4775.270148	1803.748609	7054.880203
1911	1633.93583	954.5372557	740.4502022	527.9202809	4796.256765	1604.913803	6491.527115
1912	1742.455967	1008.309204	768.0745045	582.6751997	5063.243133	1699.068308	7935.129695
1913	1913.307741	1122.850258	753.0357398	581.6590207	5387.13531	1679.357585	8054.459613
1914	1895.595756	1095.171563	745.0948344	557.393579	5085.691791	1416.96684	6447.486113
1915	1922.711733	1085.188065	749.2294108	626.6371026	5514.764504	1489.722798	8202.622176
